"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","genename","ensmbl"
"51529",1437.593504388,1.1658762678101,0.145849052458427,3.99024888384329e-16,3.52971726892573e-15,"anaphase promoting complex subunit 11","ENSG00000141552"
"3792",69.8536204938731,2.51665170186364,0.318457044149594,4.04789721730999e-16,3.57898818000388e-15,"Kell metallo-endopeptidase (Kell blood group)","ENSG00000197993"
"440829",540.135812361387,1.1427554940734,0.143143636613522,4.20243035153571e-16,3.71026110459624e-15,"shisa family member 8","ENSG00000234965"
"23302",73.2445391525044,1.66667667364162,0.210951320372945,4.22843259784044e-16,3.73142413391359e-15,"WSC domain containing 1","ENSG00000179314"
"11316",2108.78194976839,1.20856911001285,0.151404975560932,4.26578543693322e-16,3.76257847088577e-15,"coat protein complex I subunit epsilon","ENSG00000105669"
"23327",1125.24724052897,1.14159754839086,0.14290430654261,4.34800453332036e-16,3.83141819817155e-15,"NEDD4 like E3 ubiquitin protein ligase","ENSG00000049759"
"5971",332.30781980002,1.41174467296247,0.177925100784931,4.43323119756295e-16,3.90277361994468e-15,"RELB proto-oncogene, NF-kB subunit","ENSG00000104856"
"6272",692.676230497227,1.54794121742265,0.195828602399508,4.46061463319675e-16,3.92499890388237e-15,"sortilin 1","ENSG00000134243"
"6232",8937.69058149089,1.09639208818956,0.138463930647559,4.49438972782936e-16,3.95282437556793e-15,"ribosomal protein S27","ENSG00000177954"
"2524",35.4497044710149,2.13495252985872,0.272128818507226,4.78717371993663e-16,4.19425850157043e-15,"fucosyltransferase 2 (H blood group)","ENSG00000176920"
"83850",43.9918220227265,2.05035826531306,0.261738338373634,4.88868875371666e-16,4.27911726755256e-15,"extended synaptotagmin 3","ENSG00000158220"
"81552",758.568876572477,1.03278425404147,0.129073958657455,5.17998256830917e-16,4.52546145977305e-15,"VOPP1 WW domain binding protein","ENSG00000154978"
"81928",188.915962396132,1.0235203128697,0.12849930914905,5.22875797697861e-16,4.56373153465947e-15,"Cdk5 and Abl enzyme substrate 2","ENSG00000149679"
"100132111",172.225720993311,1.36603525384527,0.172654178710503,5.48516360823074e-16,4.78070927866869e-15,"C2CD4D and THEM5 antisense RNA 1",NA
"107984243",17.1121008017954,1.52748023419095,0.195214743112001,6.1775737323871e-16,5.36129319572575e-15,"uncharacterized LOC107984243","ENSG00000288823"
"55201",362.427092753866,1.11947464834873,0.141187435448999,6.51573907308393e-16,5.64144424036366e-15,"microtubule associated protein 1S","ENSG00000130479"
"6721",2270.5587030395,1.06842720819915,0.134760188376176,6.60662088729307e-16,5.71743571980443e-15,"sterol regulatory element binding transcription factor 2","ENSG00000198911"
"552900",178.659390223095,1.26177081014142,0.159824372440591,6.9164905947065e-16,5.97714980146777e-15,"bolA family member 2","ENSG00000183336"
"8772",375.477675082246,1.24609831886663,0.15776552177483,6.99420125010381e-16,6.03862302571257e-15,"Fas associated via death domain","ENSG00000168040"
"100874203",79.9362201230269,1.81873844049039,0.23260337848567,7.26528206076275e-16,6.26089346615895e-15,"COL4A2 antisense RNA 1","ENSG00000232814"
"2564",1451.52916403975,2.10866058369507,0.270040183052336,7.31154278404218e-16,6.29485099325601e-15,"gamma-aminobutyric acid type A receptor subunit epsilon","ENSG00000102287"
"254428",329.2632000476,1.24616297838379,0.158100128905788,7.69138298187076e-16,6.60638714121022e-15,"solute carrier family 41 member 1","ENSG00000133065"
"7411",441.494448857286,1.12438565058194,0.142283194830135,7.78351815058841e-16,6.6823995940816e-15,"VHL binding protein 1","ENSG00000155959"
"221914",20.2979640148714,1.97117749980626,0.252566991939688,7.84348519609613e-16,6.73073654864997e-15,"glypican 2","ENSG00000213420"
"55179",127.273965048204,1.00001748828083,0.126106047055759,7.95240623445936e-16,6.81783324414621e-15,"Fas apoptotic inhibitory molecule","ENSG00000158234"
