"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","genename","ensmbl"
"145820",38.714885631729,-1.22897098932091,0.259497822907845,4.96342491509489e-07,1.51762129771566e-06,"long intergenic non-protein coding RNA 924","ENSG00000259134"
"60468",110.563841124758,-1.05474401924808,0.220585273206687,5.07752868250243e-07,1.55070242350698e-06,"BACH transcriptional regulator 2","ENSG00000112182"
"9832",50.4475986815559,-1.02978830932421,0.215171368280505,5.20832269958923e-07,1.58800660892008e-06,"janus kinase and microtubule interacting protein 2","ENSG00000176049"
"23414",70.5058825929062,-1.13164081120489,0.238027457501919,5.23407543165316e-07,1.59506407611813e-06,"zinc finger protein, FOG family member 2","ENSG00000169946"
"59341",418.751118772468,-1.1443363806065,0.241130510115979,5.24165747321607e-07,1.59699913188299e-06,"transient receptor potential cation channel subfamily V member 4","ENSG00000111199"
"101927009",35.5594023758642,-1.2902792308099,0.274873081716777,5.24216443421403e-07,1.59699913188299e-06,"long intergenic non-protein coding RNA 2177","ENSG00000261617"
"9340",26.464764246152,-1.72825779456598,0.376461572614663,5.6054455431383e-07,1.70214218304866e-06,"glucagon like peptide 2 receptor","ENSG00000065325"
"2628",20675.7416407311,-1.08648567371574,0.229289971293788,5.73869017595386e-07,1.7416180200168e-06,"glycine amidinotransferase","ENSG00000171766"
"79966",87.8121959164746,-1.22003080658865,0.259256683328456,5.7697293368918e-07,1.75017029307369e-06,"stearoyl-CoA desaturase 5","ENSG00000145284"
"10912",1374.83291088199,-1.28262998426406,0.275679012807683,6.18626482191628e-07,1.87126613720426e-06,"growth arrest and DNA damage inducible gamma","ENSG00000130222"
"7216",1159.55931873039,-1.24284368970212,0.266098658044503,6.34800996235168e-07,1.91766499339737e-06,"trophinin","ENSG00000067445"
"55553",275.885800972648,-1.1910381991775,0.253827157777182,6.35363962710586e-07,1.91873438763644e-06,"SRY-box transcription factor 6","ENSG00000110693"
"387778",37.2333668062112,-1.07009179510377,0.226325157904083,6.41217071125739e-07,1.93481930564461e-06,"speedy/RINGO cell cycle regulator family member C","ENSG00000204710"
"112268294",770.13953547584,-1.30985194922229,0.281500671478188,6.46827208620907e-07,1.95078582018629e-06,NA,NA
"54829",457.637034885615,-1.1690873329164,0.249001578192003,6.4922074450945e-07,1.95639805582073e-06,"asporin","ENSG00000106819"
"399975",21.1813503489401,-1.09173757447204,0.231913422676744,6.58368068971097e-07,1.98201167517791e-06,"uncharacterized LOC399975",NA
"144571",2817.0497697663,-1.18328260910382,0.253950794846859,6.81329977346127e-07,2.04744619603735e-06,"A2M antisense RNA 1","ENSG00000245105"
"6441",22.244958365682,-1.18600263790196,0.253895663931156,6.86057642703753e-07,2.06064156863129e-06,"surfactant protein D","ENSG00000133661"
"106481171",26.4639212564607,-1.04593785118912,0.222071257529887,7.19681830190156e-07,2.15528981239596e-06,"RNA, U6atac small nuclear 35, pseudogene",NA
"3164",2575.72369305227,-1.54010825519849,0.340171895564402,7.30411142995915e-07,2.18563960077839e-06,"nuclear receptor subfamily 4 group A member 1","ENSG00000123358"
"93661",14.4614962128098,-1.39906633091757,0.304707983842883,7.31026508640597e-07,2.18712460160898e-06,"capping actin protein of muscle Z-line subunit alpha 3","ENSG00000177938"
"6328",15.5770452079604,-1.04659079088076,0.222505008068186,7.53573968062989e-07,2.25091612711593e-06,"sodium voltage-gated channel alpha subunit 3","ENSG00000153253"
"11095",14.1216074889024,-1.1203207983145,0.239281480227893,7.6729634555641e-07,2.28929814618975e-06,"ADAM metallopeptidase with thrombospondin type 1 motif 8","ENSG00000134917"
"348158",8669.34190470009,-1.17092478275588,0.255102303869,7.71634102633182e-07,2.30149239252164e-06,"acyl-CoA synthetase medium chain family member 2B","ENSG00000066813"
"728963",16.4988461558214,-1.77669155873305,0.277300208072884,7.94621929502131e-07,2.36659700184514e-06,"ribosomal protein S15a pseudogene 10",NA
"2015",37.2163073014203,-1.41980928658731,0.309895865036577,8.01908365427825e-07,2.38636286221303e-06,"adhesion G protein-coupled receptor E1","ENSG00000174837"
"10468",3079.9513189132,-1.10056405603205,0.236800993249318,8.02146973004903e-07,2.38668616530493e-06,"follistatin","ENSG00000134363"
"107984011",13.3011550260911,-1.10550073866538,0.237852332243547,8.7316000613112e-07,2.58582653646055e-06,"uncharacterized LOC107984011",NA
"1565",12019.093838839,-1.27661505914168,0.279908149026003,8.92218360833555e-07,2.63928768981111e-06,"cytochrome P450 family 2 subfamily D member 6 (gene/pseudogene)","ENSG00000100197"
"342372",28.2281964225904,-1.21971797787399,0.171147976695642,9.15091244419831e-07,2.70296299598859e-06,"polycystin 1 like 3, transient receptor potential channel interacting","ENSG00000277481"
"503569",16.5373134141667,-1.08189256999906,0.232895137644994,9.15397620797521e-07,2.70306510826912e-06,"RGMB antisense RNA 1","ENSG00000246763"
"202333",351.421178627018,-1.0839339534243,0.233311451835568,9.16724735214777e-07,2.70654871985276e-06,"cardiomyopathy associated 5","ENSG00000164309"
"143630",28.4895078862595,-1.03782925459454,0.223099741429424,9.44613741405656e-07,2.78485900580727e-06,"ubiquilin like","ENSG00000175518"
"387357",24.78724127866,-1.2274474873858,0.267010099932599,9.85683496965434e-07,2.89942203079821e-06,"thymocyte selection associated","ENSG00000172673"
"202299",809.455686598753,-2.00835275311363,0.456006692656068,1.012073731765e-06,2.97276423706533e-06,"long intergenic non-protein coding RNA 1554","ENSG00000236882"
"107984387",144.669966079396,-1.07880519149552,0.233118309022885,1.02368176847935e-06,3.00493797895697e-06,NA,NA
"51733",5051.78564382971,-1.19072795675507,0.259689568605513,1.03121787858361e-06,3.02464224921091e-06,"beta-ureidopropionase 1","ENSG00000100024"
"90523",430.188512052706,-1.39225881260729,0.307300473293799,1.03644076535517e-06,3.03850546216194e-06,"muscular LMNA interacting protein","ENSG00000146147"
"406925",41.4706739424414,-1.01288656369573,0.218027476616422,1.04550080053075e-06,3.06066901019395e-06,"microRNA 135a-1","ENSG00000207926"
"27319",18.7496807287114,-1.41571161014553,0.312377331550037,1.04732002304185e-06,3.06550604130388e-06,"basic helix-loop-helix family member e22","ENSG00000180828"
"102723811",27.9126860200777,-1.16379586498106,0.254002099764115,1.07797629684224e-06,3.15322661917983e-06,"uncharacterized LOC102723811",NA
"107986823",40.3824567655746,-1.29629175367578,0.285262459849058,1.09535010985169e-06,3.20129627454283e-06,NA,NA
"100287175",22.9970333153975,-1.01838142604679,0.219658292298241,1.09955010481991e-06,3.21254039462544e-06,"uncharacterized LOC100287175",NA
"3375",26.3315374146097,-1.59264301567006,0.356897896619824,1.11305293616861e-06,3.25013581170302e-06,"islet amyloid polypeptide","ENSG00000121351"
"107986673",22.9032852729066,-1.01713375842703,0.220078596036752,1.12627996914193e-06,3.28562436113143e-06,"uncharacterized LOC107986673",NA
"3702",101.143604821802,-1.09502123088778,0.237916702775571,1.14065129095246e-06,3.32227126202237e-06,"IL2 inducible T cell kinase","ENSG00000113263"
"6822",11928.6713632534,-1.21808220144454,0.271934846636171,1.15772002552059e-06,3.36931387458956e-06,"sulfotransferase family 2A member 1","ENSG00000105398"
"107984859",32.7933496916857,-1.15881078297612,0.253619048883962,1.18943177060586e-06,3.45503401382569e-06,"uncharacterized LOC107984859",NA
"727909",89.0228566293608,-1.03041902780447,0.2235214299616,1.19029878887793e-06,3.45700568700844e-06,"golgin A8 family member Q","ENSG00000178115"
"105374394",17.1986068329973,-1.61968034993845,0.364328895999636,1.19568104267366e-06,3.47153939409629e-06,"long intergenic non-protein coding RNA 2484",NA
"10891",1239.25083329021,-1.19124387163154,0.261904329137331,1.21281429094327e-06,3.51961467112551e-06,"PPARG coactivator 1 alpha","ENSG00000109819"
"105375427",14.0709367575799,-1.11050782226731,0.242691440959684,1.22137738519755e-06,3.54221223913831e-06,NA,NA
"105376301",30.4244045870411,-1.05834255559898,0.230813065717659,1.28103611789439e-06,3.70646719221878e-06,"uncharacterized LOC105376301",NA
"5602",74.2782951638951,-1.27257172069098,0.281729906575697,1.31571511173957e-06,3.80081678653226e-06,"mitogen-activated protein kinase 10","ENSG00000109339"
"54739",3760.96764142231,-1.02572272686126,0.225069853932904,1.35796695031204e-06,3.91425287639779e-06,"XIAP associated factor 1","ENSG00000132530"
"116449",15.6277090113698,-1.18040948928515,0.261506537927178,1.42835834284286e-06,4.11134366896023e-06,"cytokine dependent hematopoietic cell linker","ENSG00000109684"
"112268092",18.4638932389344,-1.47830516539871,0.242184504489997,1.4874990402035e-06,4.27219774386879e-06,NA,NA
"440348",973.725820449313,-1.0586062647904,0.234477247065375,1.51992160207184e-06,4.36258835580608e-06,"nuclear pore complex interacting protein family member B15","ENSG00000196436"
"105377548",51.9139620422366,-1.44674364191698,0.326641828767007,1.53282169735727e-06,4.39824025785451e-06,"HPGD antisense RNA 2",NA
"366",7453.98964767379,-1.32977901030896,0.301202038312983,1.55459785124533e-06,4.45515526533541e-06,"aquaporin 9","ENSG00000103569"
"3003",97.8128539074761,-1.18701069929191,0.263799750021827,1.61212397648153e-06,4.61425260350793e-06,"granzyme K","ENSG00000113088"
"338821",72.133744034986,-1.83561674065784,0.424257491996592,1.64281287323843e-06,4.69550437418685e-06,"solute carrier organic anion transporter family member 1B7 (putative)",NA
"249",948.047127882035,-1.20878928550065,0.271287221301435,1.65758212718343e-06,4.73698073196335e-06,"alkaline phosphatase, biomineralization associated","ENSG00000162551"
